Iteration,TX_Times,RX_Times,Round_Trip_Delay,D_K,T_K
1,"[1.010438137, 1.010438137]","[1.013896179, 1.019422218]",0.01244212300000025,0.008984081000000144,0.38061008100000016
2,"[1.408417281, 1.408417281]","[1.409613308, 1.411089349]",0.0038680950000000713,0.002672068000000083,0.3787760680000001
3,"[1.788075479, 1.788075479]","[1.789271506, 1.790547547]",0.0036680950000000934,0.002472068000000105,0.3896900680000001
4,"[2.17864756, 2.17864756]","[2.179843587, 2.181179628]",0.0037280950000004864,0.002532068000000276,0.3739440680000003
5,"[2.553473681, 2.553473681]","[2.554669708, 2.556385749]",0.004108095000000311,0.002912068000000101,0.3755740680000001
6,"[2.930545575, 2.930545575]","[2.931741602, 2.933017643]",0.0036680949999996493,0.002472067999999883,0.3894930679999999
7,"[3.320920722, 3.320920722]","[3.322116749, 3.32333279]",0.0036080950000001444,0.002412067999999934,0.37993006799999995
8,"[3.701732743, 3.701732743]","[3.70292877, 3.704184811]",0.0036480950000004064,0.002452068000000196,0.3726700680000002
9,"[4.078262673, 4.078262673]","[4.0794587, 4.080914741]",0.0038480949999994962,0.00265206799999973,0.3942820679999997
10,"[4.473106689, 4.473106689]","[4.473926716, 4.475166757]",0.0028800950000009706,0.00206006800000047,0.3811490680000005
11,"[4.85481765, 4.85481765]","[4.855637677, 4.856757718]",0.0027600949999992963,0.001940067999999684,0.3733480679999997
12,"[5.228727718, 5.228727718]","[5.229547745, 5.230527786]",0.0026200949999992673,0.001800067999999655,0.39255406799999965
